"","NSI","pi","piHC","piMetals"
"Jassa herdmani",0,0,0,0
"Harpinia antennaria",0,0,0,0
"Urothoe elegans",0,3,4,0
"Megamphopus cornutus",0,0,0,0
"Hyas coarctatus",0,0,0,0
"Pagurus prideaux",0,0,0,0
"Alpheus bellulus",0,0,0,0
"Crangon allmanni",0,0,0,0
"Praunus flexuosus",0,0,0,0
"Natatolana borealis",0,0,0,0
"Thysanoessa inermis",0,0,0,0
"Eudorella emarginata",0,0,0,0
"Evadne spinifera",0,0,0,0
"Podon intermedius",0,1,0,0
"Verruca stroemia",0,4,0,4
"Ditrichocorycaeus anglicus",0,0,0,0
"Tubificoides amplivasatus",0,0,0,0
"Grania ovitheca",0,0,0,0
"Grania postclitellochaeta",0,0,0,0
"Siboglinum fiordicum",0,0,0,0
"Owenia fusiformis",4,0,0,0
"Galathowenia oculata",1,1,1,1
"Euchone rosea",0,0,0,0
"Harmothoe glabra",0,0,0,0
"Gattyana cirrhosa",0,0,0,0
"Nereimyra punctata",0,0,0,0
"Nereimyra woodsholea",0,0,0,0
"Neogyptis rosea",0,0,0,0
"Glycera alba",0,0,0,0
"Nephtys kersivalensis",0,3,4,4
"Nephtys hystricis",0,0,0,0
"Nephtys incisa",0,0,0,0
"Pholoe baltica",0,0,0,0
"Glycinde nordmanni",0,0,0,0
"Sphaerodoropsis cf. philippi",0,0,0,0
"Eumida bahusiensis",5,0,0,0
"Eumida ockelmanni",0,0,0,0
"Sige fusigera",0,0,0,0
"Laetmonice filicornis",0,0,0,0
"Pectinaria koreni",4,0,0,0
"Pectinaria auricoma",0,1,0,1
"Cirratulus cirratus",4,5,5,4
"Chaetozone gibber",0,0,0,0
"Polycirrus arcticus",0,0,0,0
"Mugga wahrbergi",0,0,0,0
"Anobothrus gracilis",0,0,0,0
"Eclysippe vanelli",0,0,0,0
"Raricirrus beryli",0,0,0,0
"Nothria conchylega CMC02",0,0,0,0
"Paradiopatra quadricuspis",0,0,0,0
"Parougia eliasoni",0,0,0,0
"Ophelina acuminata CMC02",0,0,0,0
"Ophelina cylindricaudata",0,1,0,1
"Prionospio dubia",0,0,0,0
"Spiophanes bombyx",3,0,0,0
"Spiophanes kroyeri",0,0,0,0
"Poecilochaetus serpens",0,0,0,0
"Aricidea laubieri",0,0,0,0
"Levinsenia gracilis",0,0,0,0
"Capitella capitata",5,4,5,4
"Scoloplos armiger",0,0,0,0
"Paramphinome jeffreysii",0,0,0,1
"Polygordius appendiculatus",0,0,0,0
"Caryophyllia smithii",0,0,0,0
"Epizoanthus paxi",0,0,0,0
"Epizoanthus paguricola",0,0,0,0
"Edwardsia longicornis",0,0,0,0
"Halcampa cf. duodecimcirrata",0,0,0,0
"Pennatula phosphorea",0,0,0,0
"Virgularia mirabilis",0,0,1,0
"Pachycerianthus borealis",0,0,0,0
"Hydractinia echinata",0,0,0,0
"Ectopleura larynx",0,0,0,0
"Sarsia princeps",0,0,0,0
"Sarsia tubulosa",0,0,0,0
"Merona cornucopiae",0,0,0,0
"Corymorpha nutans",0,0,0,0
"Euphysa aurata",0,1,1,0
"Bougainvillia muscus",0,0,0,0
"Plotocnide borealis",0,1,0,1
"Eutonina indicans",0,0,0,0
"Tima bairdii",0,0,0,0
"Clytia languida",0,0,0,4
"Halecium halecinum",0,0,0,0
"Mitrocomella polydiademata",1,1,0,1
"Agalma elegans",0,0,0,0
"Nanomia cara",1,1,0,1
"Cyanea capillata",0,0,0,0
"Aurelia aurita",0,0,0,0
"Echinocardium flavescens",0,1,0,1
"Echinocardium cordatum",3,0,0,0
"Spatangus purpureus",0,0,0,0
"Brissopsis lyrifera",0,1,1,1
"Echinocyamus pusillus",0,0,0,0
"Trachythyone elongata",0,0,0,0
"Pseudothyone raphanus",0,0,0,0
"Luidia sarsi",0,0,0,0
"Porania pulvillus",0,0,0,0
"Ophiura ophiura",0,0,0,0
"Ophiura sarsii",1,0,0,0
"Ophiocten affinis",0,0,0,0
"Ophiopholis aculeata",0,0,0,0
"Amphiura filiformis",0,1,0,1
"Amphiura chiajei",0,1,0,1
"Ophiothrix fragilis",0,0,0,0
"Valvognathia pogonostoma",0,0,0,0
"Mytilus edulis",0,0,0,0
"Modiolus modiolus",0,0,0,0
"Dosinia lupinus",0,0,0,0
"Timoclea ovata",0,0,0,0
"Arctica islandica",0,0,0,1
"Parvicardium minimum",0,0,0,0
"Acanthocardia echinata",0,0,0,0
"Moerella pygmaea",0,0,0,0
"Abra nitida",0,0,0,0
"Abra prismatica",1,0,0,1
"Abra longicallus",0,0,0,0
"Ennucula tenuis",0,0,0,0
"Nucula nucleus",0,0,0,0
"Nucula tumidula",0,0,0,0
"Spisula elliptica",0,0,0,0
"Mysella bidentata",0,0,0,0
"Phaxas pellucidus",0,0,0,0
"Yoldiella frigida",0,0,0,0
"Cuspidaria cuspidata",0,0,0,0
"Thyasira obsoleta",0,0,0,0
"Thyasira equalis",0,0,0,0
"Thyasira ferruginea",0,0,0,0
"Thyasira flexuosa",0,0,0,0
"Lima loscombi",0,0,0,0
"Astarte borealis",0,0,0,0
"Euspira fusca",0,0,0,0
"Euspira nitida",0,0,0,0
"Aporrhais pespelecani",0,0,0,0
"Acteon tornatilis",0,0,0,0
"Neptunea antiqua",0,0,0,0
"Buccinum undatum",0,0,0,0
"Doto coronata",0,0,0,0
"Flabellina pellucida",0,0,0,0
"Polycera quadrilineata",0,0,0,0
"Hero formosa",0,0,0,0
"Epitonium trevelyanum",0,0,0,0
"Retusa umbilicata",0,0,0,0
"Philine scabra",0,0,0,0
"Philine indistincta",1,1,1,0
"Diaphana minuta",0,0,0,0
"Cylichna cylindracea",0,0,0,0
"Scaphander lignarius",0,0,0,0
"Clione limacina",0,0,0,0
"Aplysia punctata",0,0,0,0
"Antalis entalis",0,1,0,0
"Scutopus ventrolineatus",0,0,0,0
"Chaetoderma nitidulum",0,0,0,0
"Falcidens crossotus",0,0,0,0
"Tubulanus annulatus",0,0,0,0
"Hubrechtella dubia",0,1,0,1
"Micrura fasciolata",0,0,0,0
"Micrura varicolor",0,0,0,0
"Pseudomicrura afzelii",0,0,0,0
"Tenuilineus albocinctus",0,0,0,0
"Leucocephalonemertes aurantiaca",0,0,0,0
"Oxypolia beaumontiana",0,0,0,0
"Oerstedia dorsalis",0,0,0,0
"Cryptocotyle lingua",0,0,0,0
"Childia macroposthium",0,0,0,0
"Actinoposthia haplovata",0,0,0,0
"Haploposthia lactomaculata",0,0,0,0
"Hallangia proporoides",0,0,0,0
"Stelletta normani",0,0,0,0
"Hexadella dedritifera",0,0,0,0
"Eurypon clavigerum",0,0,0,0
"Axinella infundibuliformis",0,0,0,0
"Plicatellopsis fragilis",0,0,0,0
"Polymastia cf. conigera AP2013",0,0,0,0
"Priapulus caudatus",0,1,1,1
