"","NSI","pi","piHC","piMetals"
"SWARM_3094",NA,NA,0.0737962962962963,NA
"SWARM_34894",NA,NA,NA,NA
"SWARM_13875",NA,NA,NA,NA
"SWARM_13299",NA,NA,NA,1.08454946633826
"SWARM_22938",NA,NA,NA,NA
"SWARM_10585",27.2,NA,NA,NA
"SWARM_10581",NA,NA,NA,NA
"SWARM_7705",NA,NA,NA,NA
"SWARM_1700",27.35,NA,NA,NA
"SWARM_1702",NA,NA,NA,NA
"SWARM_24603",NA,NA,NA,NA
"SWARM_17918",NA,NA,NA,NA
"SWARM_17915",NA,NA,NA,NA
"SWARM_17910",NA,NA,NA,NA
"SWARM_23952",NA,NA,NA,NA
"SWARM_10755",NA,NA,NA,NA
"SWARM_10754",NA,NA,NA,NA
"SWARM_7055",NA,1.05379633430639,0.148148148148148,0.849870005473454
"SWARM_4662",28.92,NA,NA,NA
"SWARM_10626",NA,1.99575406803047,1.41668981481481,1.08454946633826
"SWARM_4759",NA,NA,NA,NA
"SWARM_5403",NA,NA,NA,NA
"SWARM_20951",25,0.272346211153682,0.166666666666667,0.112876299945265
"SWARM_31982",NA,NA,NA,NA
"SWARM_30057",NA,NA,NA,NA
"SWARM_16112",NA,NA,NA,NA
"SWARM_27676",NA,NA,NA,1.05460112205802
"SWARM_20108",25,0.153097062579821,0.117407407407407,0.108480432402846
"SWARM_17896",NA,NA,NA,NA
"SWARM_718",24.945,0.290982104847047,0.299629629629629,0.112876299945265
"SWARM_713",NA,NA,NA,NA
"SWARM_10986",25,0.324375114030287,0.425740740740741,0.0835351669403394
"SWARM_12165",NA,NA,NA,NA
"SWARM_17669",NA,NA,NA,NA
"SWARM_16136",NA,NA,NA,NA
"SWARM_33212",NA,NA,NA,NA
"SWARM_5304",NA,NA,NA,NA
"SWARM_5306",NA,NA,NA,NA
"SWARM_5309",NA,NA,NA,NA
"SWARM_2658",NA,NA,NA,NA
"SWARM_8439",NA,NA,NA,NA
"SWARM_9704",27.35,NA,NA,NA
"SWARM_1327",NA,NA,NA,NA
"SWARM_1325",NA,NA,NA,NA
"SWARM_1324",NA,NA,NA,NA
"SWARM_28672",NA,NA,NA,NA
"SWARM_25799",NA,NA,NA,NA
"SWARM_8412",NA,NA,NA,NA
"SWARM_11103",NA,1.05379633430639,NA,1.08454946633826
"SWARM_11109",NA,1.21962176153987,0.375,1.5794326423098
"SWARM_10278",25,0.215550538222952,0.299629629629629,0.112876299945265
"SWARM_691",NA,0.290982104847047,NA,0.307354953475643
"SWARM_690",NA,NA,NA,2.27048653872468
"SWARM_692",NA,1.05379633430639,0.425740740740741,1.2654710591133
"SWARM_6553",NA,NA,NA,NA
"SWARM_7201",NA,NA,0.375,NA
"SWARM_7206",NA,0.383190415374323,NA,0.368397646414889
"SWARM_7207",18.45,2.28683429118774,3.16534722222222,2.9177750410509
"SWARM_21421",NA,NA,NA,NA
"SWARM_35110",NA,NA,NA,NA
"SWARM_23040",NA,NA,NA,NA
"SWARM_323",NA,NA,NA,NA
"SWARM_24327",NA,NA,NA,NA
"SWARM_16787",NA,NA,NA,NA
"SWARM_51009",NA,NA,NA,NA
"SWARM_14926",NA,NA,NA,NA
"SWARM_2284",23.805,0.329638980113118,0.282407407407407,0.111637931034483
"SWARM_12501",NA,NA,NA,NA
"SWARM_12504",NA,NA,NA,NA
"SWARM_18777",NA,NA,NA,NA
"SWARM_20638",NA,NA,NA,NA
"SWARM_20637",NA,NA,NA,NA
"SWARM_13902",NA,NA,NA,NA
"SWARM_36387",NA,NA,NA,NA
"SWARM_70511",NA,NA,NA,NA
"SWARM_14675",NA,NA,NA,NA
"SWARM_14676",NA,NA,NA,NA
"SWARM_6921",NA,0.872598142066533,NA,0.102138067870826
"SWARM_17378",NA,NA,NA,NA
"SWARM_6928",NA,NA,NA,0.112876299945265
"SWARM_13822",NA,NA,NA,NA
"SWARM_13828",NA,NA,NA,NA
"SWARM_981",NA,NA,NA,NA
"SWARM_16425",NA,0.153097062579821,0.263888888888889,0.108480432402846
"SWARM_16428",NA,NA,NA,NA
"SWARM_7678",NA,0.383190415374323,NA,0.340469348659003
"SWARM_1633",NA,NA,NA,NA
"SWARM_1636",NA,3.24828725797072,NA,0.108480432402846
"SWARM_30841",NA,NA,NA,NA
"SWARM_30113",NA,NA,NA,NA
"SWARM_6887",NA,NA,NA,NA
"SWARM_2081",NA,NA,NA,NA
"SWARM_13796",NA,NA,NA,NA
"SWARM_25247",NA,NA,NA,NA
"SWARM_22730",NA,NA,NA,NA
"SWARM_22732",NA,NA,NA,NA
"SWARM_21043",NA,NA,NA,NA
"SWARM_6807",NA,NA,NA,NA
"SWARM_20819",23.565,0.230459009913033,NA,0.111637931034483
"SWARM_34828",NA,NA,NA,NA
"SWARM_6884",NA,NA,NA,NA
"SWARM_12395",NA,NA,NA,NA
"SWARM_19010",NA,NA,NA,NA
"SWARM_19016",NA,NA,NA,NA
"SWARM_19015",NA,NA,NA,NA
"SWARM_19014",NA,NA,NA,NA
"SWARM_10531",28.92,0.68029130937177,0.304259259259259,0.788478379857691
"SWARM_10530",25.05,0.168149250440917,NA,0.112876299945265
"SWARM_18735",NA,NA,NA,NA
"SWARM_12466",NA,NA,NA,NA
"SWARM_5163",NA,NA,NA,NA
"SWARM_3118",NA,NA,NA,NA
"SWARM_3113",NA,NA,0.190509259259259,NA
"SWARM_3110",NA,NA,NA,NA
"SWARM_19839",NA,NA,NA,NA
"SWARM_31474",NA,NA,NA,NA
"SWARM_46301",NA,NA,NA,NA
"SWARM_14020",NA,NA,NA,NA
"SWARM_14024",NA,NA,NA,NA
"SWARM_13557",NA,NA,NA,NA
"SWARM_21998",NA,NA,NA,NA
"SWARM_24010",NA,NA,NA,NA
"SWARM_53750",NA,NA,NA,NA
"SWARM_40053",NA,NA,NA,NA
"SWARM_10049",NA,NA,NA,NA
"SWARM_4914",NA,NA,NA,NA
"SWARM_409",NA,NA,NA,NA
"SWARM_404",NA,NA,NA,NA
"SWARM_14852",NA,NA,NA,NA
"SWARM_19931",NA,NA,NA,NA
"SWARM_10874",NA,NA,NA,NA
"SWARM_10875",NA,NA,NA,NA
"SWARM_10873",NA,NA,NA,NA
"SWARM_7852",NA,NA,NA,NA
