"","NSI","pi","piHC","piMetals"
"SWARM_175",0,1,0,1
"SWARM_179",0,0,0,0
"SWARM_62487",0,0,0,0
"SWARM_23462",0,0,0,0
"SWARM_6232",0,0,0,0
"SWARM_6234",1,0,0,0
"SWARM_6239",0,0,0,0
"SWARM_2075",0,0,0,0
"SWARM_2070",1,0,0,0
"SWARM_2071",0,0,0,0
"SWARM_2079",5,4,5,4
"SWARM_4891",0,0,0,0
"SWARM_4898",0,0,0,0
"SWARM_9166",0,0,0,0
"SWARM_21334",0,0,0,0
"SWARM_21330",0,0,0,0
"SWARM_17704",0,0,0,0
"SWARM_3534",0,0,0,0
"SWARM_26815",0,0,0,0
"SWARM_37400",0,0,0,0
"SWARM_20888",0,0,0,0
"SWARM_8390",1,0,0,0
"SWARM_57997",0,0,0,0
"SWARM_4512",0,0,0,0
"SWARM_14857",0,0,0,0
"SWARM_2911",0,1,0,1
"SWARM_2917",0,0,0,0
"SWARM_9828",0,0,0,0
"SWARM_3830",4,0,0,0
"SWARM_3834",0,0,0,0
"SWARM_3837",0,1,1,1
"SWARM_1489",0,0,0,0
"SWARM_26740",0,0,0,0
"SWARM_32256",0,0,0,0
"SWARM_20741",0,0,0,0
"SWARM_20745",1,0,0,0
"SWARM_10418",0,0,0,0
"SWARM_22588",0,0,0,0
"SWARM_22586",0,0,0,0
"SWARM_31136",0,0,0,0
"SWARM_46810",0,0,0,0
"SWARM_15618",0,0,0,0
"SWARM_15615",1,0,0,0
"SWARM_13612",0,0,0,0
"SWARM_13619",0,0,0,0
"SWARM_8830",0,0,0,0
"SWARM_16735",0,0,0,0
"SWARM_16734",0,0,0,0
"SWARM_16732",0,0,0,0
"SWARM_4375",0,0,0,0
"SWARM_4491",0,0,0,0
"SWARM_2897",0,0,0,0
"SWARM_6656",0,4,3,4
"SWARM_6655",4,3,4,3
"SWARM_6658",0,0,0,0
"SWARM_35094",0,0,0,0
"SWARM_3380",0,0,0,0
"SWARM_42398",0,0,0,0
"SWARM_29171",0,0,0,0
"SWARM_3967",0,0,0,0
"SWARM_1522",0,0,0,0
"SWARM_15688",0,0,0,0
"SWARM_33000",0,0,0,0
"SWARM_5032",1,1,1,1
"SWARM_2564",0,0,0,0
"SWARM_2562",0,0,0,0
"SWARM_28035",0,0,0,0
"SWARM_6710",0,1,0,1
"SWARM_9476",0,0,0,0
"SWARM_17389",0,0,0,0
"SWARM_17385",0,0,0,0
"SWARM_7042",1,0,0,0
"SWARM_68304",0,0,0,0
"SWARM_27665",0,0,0,0
"SWARM_11711",0,0,0,0
"SWARM_18832",0,0,0,0
"SWARM_1054",4,3,4,0
"SWARM_1056",0,0,0,0
"SWARM_10443",0,0,0,0
"SWARM_346",0,0,0,0
"SWARM_42219",0,0,0,0
"SWARM_22152",0,0,0,0
"SWARM_15465",0,0,0,0
"SWARM_15463",0,0,0,0
"SWARM_14732",0,0,0,0
"SWARM_9757",0,0,0,0
"SWARM_24127",0,0,0,0
"SWARM_22985",0,0,0,0
"SWARM_28591",0,0,0,0
"SWARM_23638",0,0,0,0
"SWARM_1934",0,0,0,0
"SWARM_13614",0,0,0,0
"SWARM_7974",0,0,0,0
"SWARM_574",0,0,0,0
"SWARM_575",0,0,0,0
"SWARM_576",0,0,0,0
"SWARM_577",0,0,0,0
"SWARM_579",0,0,0,0
"SWARM_53396",0,0,0,0
"SWARM_14352",0,0,0,0
"SWARM_14350",0,0,0,3
"SWARM_23908",0,0,0,0
"SWARM_30553",0,0,0,0
"SWARM_27955",0,0,0,0
"SWARM_27959",0,0,0,0
"SWARM_15347",0,0,0,0
"SWARM_58850",0,0,0,0
"SWARM_22826",0,0,0,0
