"","NSI","pi","piHC","piMetals"
"SWARM_7207",88,85.53,79.56,38.84
"SWARM_21421",0,0,0,0
"SWARM_35110",0,0,0,0
"SWARM_23040",0,0,0,0
"SWARM_323",0,0,0,0
"SWARM_24327",0,0,0,0
"SWARM_16787",0,0,0,0
"SWARM_51009",0,0,0,0
"SWARM_14926",0,0,0,0
"SWARM_2284",44.61,51.67,47.94,43.4
"SWARM_12501",0,0,0,0
"SWARM_12504",0,0,0,0
"SWARM_18777",0,0,0,0
"SWARM_20638",0,0,0,0
"SWARM_20637",0,0,0,0
"SWARM_13902",0,0,0,0
"SWARM_36387",0,0,0,0
"SWARM_70511",0,0,0,0
"SWARM_14675",0,0,0,0
"SWARM_14676",0,0,0,0
"SWARM_6921",0,30.42,0,34.19
"SWARM_17378",0,0,0,0
"SWARM_6928",0,0,0,72.84
"SWARM_13822",0,0,0,0
"SWARM_13828",0,0,0,0
"SWARM_981",0,0,0,0
"SWARM_16425",0,30.93,22.12,37.45
"SWARM_16428",0,0,0,0
"SWARM_7678",0,44.82,0,46.77
"SWARM_1633",0,0,0,0
"SWARM_1636",0,62.95,0,63.72
"SWARM_30841",0,0,0,0
"SWARM_30113",0,0,0,0
"SWARM_6887",0,0,0,0
"SWARM_2081",0,0,0,0
"SWARM_13796",0,0,0,0
"SWARM_25247",0,0,0,0
"SWARM_22730",0,0,0,0
"SWARM_22732",0,0,0,0
"SWARM_21043",0,0,0,0
"SWARM_6807",0,0,0,0
"SWARM_20819",33.55,38.13,0,54.12
"SWARM_34828",0,0,0,0
"SWARM_6884",0,0,0,0
"SWARM_12395",0,0,0,0
"SWARM_19010",0,0,0,0
"SWARM_19016",0,0,0,0
"SWARM_19015",0,0,0,0
"SWARM_19014",0,0,0,0
"SWARM_10531",61.97,50.72,50.05,50.84
"SWARM_10530",35.77,47.04,0,83.54
"SWARM_18735",0,0,0,0
"SWARM_12466",0,0,0,0
"SWARM_5163",0,0,0,0
"SWARM_3118",0,0,0,0
"SWARM_3113",0,0,52.15,0
"SWARM_3110",0,0,0,0
"SWARM_19839",0,0,0,0
"SWARM_31474",0,0,0,0
"SWARM_46301",0,0,0,0
"SWARM_14020",0,0,0,0
"SWARM_14024",0,0,0,0
"SWARM_13557",0,0,0,0
"SWARM_21998",0,0,0,0
"SWARM_24010",0,0,0,0
"SWARM_53750",0,0,0,0
"SWARM_40053",0,0,0,0
"SWARM_10049",0,0,0,0
"SWARM_4914",0,0,0,0
"SWARM_409",0,0,0,0
"SWARM_404",0,0,0,0
"SWARM_14852",0,0,0,0
"SWARM_19931",0,0,0,0
"SWARM_10874",0,0,0,0
"SWARM_10875",0,0,0,0
"SWARM_10873",0,0,0,0
"SWARM_7852",0,0,0,0
"SWARM_1246",0,0,0,0
"SWARM_1242",0,0,0,0
"SWARM_25614",0,0,0,0
"SWARM_25615",0,0,0,0
"SWARM_44807",0,0,0,0
"SWARM_44808",38.89,0,0,0
"SWARM_26336",0,0,27.03,0
"SWARM_37306",0,0,0,0
"SWARM_175",0,61.46,0,67.4
"SWARM_179",0,0,0,0
"SWARM_62487",0,0,0,0
"SWARM_23462",0,0,0,0
"SWARM_6232",0,0,0,0
"SWARM_6234",96.67,0,0,0
"SWARM_6239",0,0,0,0
"SWARM_2075",0,0,0,0
"SWARM_2070",75.47,0,0,0
"SWARM_2071",0,0,0,0
"SWARM_2079",74.37,84.03,83.14,61.86
"SWARM_4891",0,0,0,0
"SWARM_4898",0,0,0,0
"SWARM_9166",0,0,0,0
"SWARM_21334",0,0,0,0
"SWARM_21330",0,0,0,0
"SWARM_17704",0,0,0,0
"SWARM_3534",0,0,0,0
"SWARM_26815",0,0,0,0
"SWARM_37400",0,0,0,0
"SWARM_20888",0,0,0,0
"SWARM_8390",88.17,0,0,0
"SWARM_57997",0,0,0,0
"SWARM_4512",0,0,0,0
"SWARM_14857",0,0,0,0
"SWARM_2911",0,32.33,0,40.17
"SWARM_2917",0,0,0,0
"SWARM_9828",0,0,0,0
"SWARM_3830",78.36,0,0,0
"SWARM_3834",0,0,0,0
"SWARM_3837",0,61.56,58.89,57.46
"SWARM_1489",0,0,0,0
"SWARM_26740",0,0,0,0
"SWARM_32256",0,0,0,0
"SWARM_20741",0,0,0,0
"SWARM_20745",70.66,0,0,0
"SWARM_10418",0,0,0,0
"SWARM_22588",0,0,0,0
"SWARM_22586",0,0,0,0
"SWARM_31136",0,0,0,0
"SWARM_46810",0,0,0,0
"SWARM_15618",0,0,0,0
"SWARM_15615",38.37,0,46.5,0
"SWARM_13612",0,0,0,0
"SWARM_13619",0,0,0,0
"SWARM_8830",0,0,0,0
"SWARM_16735",0,0,0,0
"SWARM_16734",0,0,0,0
"SWARM_16732",0,0,0,0
"SWARM_4375",0,0,0,0
"SWARM_4491",0,0,0,0
"SWARM_2897",0,0,0,0
"SWARM_6656",0,47.13,44.48,40.05
"SWARM_6655",64.79,67.85,63.09,35.21
"SWARM_6658",0,0,0,0
"SWARM_35094",0,0,0,0
"SWARM_3380",0,0,0,0
"SWARM_42398",0,0,0,0
"SWARM_29171",0,0,0,0
"SWARM_3967",0,0,0,0
"SWARM_1522",0,0,0,0
"SWARM_15688",0,0,0,0
"SWARM_33000",0,0,0,0
"SWARM_5032",40.49,51.43,45.03,46.83
"SWARM_2564",0,0,0,0
"SWARM_2562",0,0,0,0
