"","NSI","piMetals","pi","piHC"
"SWARM_2881",NA,NA,NA,NA
"SWARM_2880",NA,NA,NA,NA
"SWARM_2887",NA,NA,NA,NA
"SWARM_2886",NA,NA,NA,NA
"SWARM_2885",NA,NA,NA,NA
"SWARM_6644",NA,NA,NA,NA
"SWARM_6647",NA,NA,NA,NA
"SWARM_6641",NA,NA,NA,NA
"SWARM_6643",NA,NA,NA,NA
"SWARM_6649",NA,NA,NA,NA
"SWARM_2775",NA,NA,NA,NA
"SWARM_2774",NA,NA,NA,NA
"SWARM_2776",NA,NA,NA,NA
"SWARM_2771",NA,NA,NA,NA
"SWARM_2770",NA,NA,NA,NA
"SWARM_2779",NA,NA,NA,NA
"SWARM_2778",NA,NA,NA,NA
"SWARM_7112",NA,NA,NA,NA
"SWARM_7110",NA,NA,NA,NA
"SWARM_7116",NA,NA,NA,NA
"SWARM_8599",NA,NA,NA,NA
"SWARM_9648",NA,NA,NA,NA
"SWARM_9649",NA,NA,NA,NA
"SWARM_9641",NA,NA,NA,NA
"SWARM_9645",NA,NA,NA,NA
"SWARM_3914",NA,NA,NA,NA
"SWARM_3913",NA,NA,NA,NA
"SWARM_3911",NA,NA,NA,NA
"SWARM_3919",NA,NA,NA,NA
"SWARM_1510",25,0.120364668856048,0.168149250440917,0.236111111111111
"SWARM_1511",NA,0.112876299945265,0.168149250440917,NA
"SWARM_1512",14,3.10183382081281,3.5157965158046,3.66375
"SWARM_1516",NA,2.27048653872468,1.67891312032476,0.490740740740742
"SWARM_7868",NA,NA,NA,NA
"SWARM_11629",NA,NA,NA,NA
"SWARM_837",NA,0.112876299945265,NA,NA
"SWARM_550",NA,NA,NA,NA
"SWARM_551",NA,3.10183382081281,3.5157965158046,NA
"SWARM_557",NA,NA,NA,NA
"SWARM_6506",NA,NA,NA,NA
"SWARM_6507",NA,NA,NA,NA
"SWARM_6504",NA,NA,NA,NA
"SWARM_20122",NA,NA,NA,NA
"SWARM_22418",NA,NA,NA,NA
"SWARM_2578",NA,NA,NA,NA
"SWARM_2573",NA,NA,NA,NA
"SWARM_2572",NA,NA,NA,NA
"SWARM_2571",NA,NA,NA,NA
"SWARM_2577",NA,NA,NA,NA
"SWARM_2576",NA,NA,NA,NA
"SWARM_2574",NA,NA,NA,NA
"SWARM_4809",NA,NA,NA,NA
"SWARM_4808",NA,NA,NA,NA
"SWARM_4804",NA,NA,NA,NA
"SWARM_4806",NA,NA,NA,NA
"SWARM_4802",NA,NA,NA,NA
"SWARM_5979",NA,NA,NA,NA
"SWARM_733",24.855,2.63490908935413,3.64231080237411,0.541666666666667
"SWARM_736",NA,NA,1.05379633430639,NA
"SWARM_734",NA,NA,NA,NA
"SWARM_735",28.29,3.10183382081281,3.24828725797072,NA
"SWARM_738",NA,NA,NA,NA
"SWARM_739",NA,NA,NA,NA
"SWARM_9408",NA,NA,NA,NA
"SWARM_9403",NA,NA,NA,NA
"SWARM_9400",NA,NA,NA,NA
"SWARM_6982",NA,NA,NA,NA
"SWARM_17397",NA,NA,NA,NA
"SWARM_12147",NA,NA,NA,NA
"SWARM_17398",NA,NA,NA,NA
"SWARM_6989",NA,NA,NA,NA
"SWARM_7058",NA,NA,NA,NA
"SWARM_7053",NA,NA,NA,NA
"SWARM_7051",NA,NA,NA,NA
"SWARM_7050",NA,NA,NA,NA
"SWARM_17642",NA,NA,NA,NA
"SWARM_11493",NA,NA,NA,NA
"SWARM_12362",NA,NA,NA,NA
"SWARM_11498",NA,NA,NA,NA
"SWARM_16117",NA,NA,NA,NA
"SWARM_18846",NA,NA,NA,NA
"SWARM_1060",NA,NA,NA,NA
"SWARM_1061",27.35,NA,NA,NA
"SWARM_1063",NA,3.10183382081281,2.66197146962233,0.231481481481481
"SWARM_1064",22.525,1.72212643678161,1.21962176153987,0.541666666666667
"SWARM_1065",NA,1.72987222906404,1.05379633430639,0.190509259259259
"SWARM_1066",NA,NA,NA,NA
"SWARM_1067",23.425,NA,NA,NA
"SWARM_1068",NA,NA,NA,NA
"SWARM_1069",NA,NA,NA,NA
"SWARM_7860",NA,NA,NA,NA
"SWARM_18269",NA,NA,NA,NA
"SWARM_10456",NA,NA,NA,NA
"SWARM_10457",NA,NA,NA,NA
"SWARM_5363",NA,NA,NA,NA
"SWARM_5360",NA,NA,NA,NA
"SWARM_5367",NA,NA,NA,NA
"SWARM_5365",NA,NA,NA,NA
"SWARM_5364",NA,NA,NA,NA
"SWARM_5369",NA,NA,NA,NA
