"","NSI","piMetals","pi","piHC"
"SWARM_10456",0,0,0,0
"SWARM_10457",0,0,0,0
"SWARM_5363",0,0,0,0
"SWARM_5360",0,0,0,0
"SWARM_5367",0,0,0,0
"SWARM_5365",0,0,0,0
"SWARM_5364",0,0,0,0
"SWARM_5369",0,0,0,0
"SWARM_10142",0,0,0,0
"SWARM_8412",0,0,0,0
"SWARM_8413",0,0,0,0
"SWARM_8418",0,0,0,0
"SWARM_3033",0,0,0,0
"SWARM_3032",0,0,0,0
"SWARM_3035",0,0,0,0
"SWARM_3037",0,0,0,0
"SWARM_3036",0,0,0,0
"SWARM_3039",0,0,0,0
"SWARM_3038",0,0,0,0
"SWARM_4504",0,0,0,0
"SWARM_26261",0,0,0,0
"SWARM_14723",0,0,0,0
"SWARM_1309",0,53.88,58.48,60.52
"SWARM_1308",0,0,0,0
"SWARM_1301",0,0,0,0
"SWARM_1300",0,0,0,0
"SWARM_1303",0,66.42,60.39,40.35
"SWARM_1302",0,56.64,65.48,65.72
"SWARM_1305",0,23.77,20.29,0
"SWARM_1307",0,0,0,0
"SWARM_17404",0,0,0,0
"SWARM_11129",0,0,0,0
"SWARM_11125",0,0,0,0
"SWARM_11124",0,0,0,0
"SWARM_11123",0,0,0,0
"SWARM_4213",0,0,0,0
"SWARM_4217",0,0,0,0
"SWARM_15800",0,0,0,0
"SWARM_15803",0,0,0,0
"SWARM_5163",0,0,0,0
"SWARM_5162",0,0,0,0
"SWARM_5167",0,0,0,0
"SWARM_5169",0,0,0,0
"SWARM_4316",0,0,0,0
"SWARM_4312",0,0,0,0
"SWARM_3858",0,0,0,0
"SWARM_8654",0,0,0,0
"SWARM_8656",0,0,0,0
"SWARM_8657",0,0,0,0
"SWARM_8658",0,0,0,0
"SWARM_6925",0,0,0,0
"SWARM_2309",51.8,0,0,34.12
"SWARM_2300",0,0,0,0
"SWARM_2301",0,0,0,0
"SWARM_2302",0,0,0,0
"SWARM_2304",0,0,0,0
"SWARM_2305",0,0,0,0
"SWARM_48517",0,0,0,0
"SWARM_506",63.63,72.72,99.99,63.63
"SWARM_501",0,0,0,0
"SWARM_502",73.64,0,91.61,83.2
"SWARM_6533",0,0,0,0
"SWARM_6531",0,0,0,0
"SWARM_6530",0,0,0,0
"SWARM_508",0,77.43,76.67,70.66
"SWARM_9216",0,0,0,0
"SWARM_5943",0,0,0,0
"SWARM_5941",0,0,0,0
"SWARM_5940",0,0,0,0
"SWARM_5947",0,0,0,0
"SWARM_5945",0,0,0,0
"SWARM_5949",0,0,0,0
"SWARM_5948",0,0,0,0
"SWARM_12339",0,0,0,0
"SWARM_702",91.67,71.99,88.68,86.3
"SWARM_18654",0,0,0,0
"SWARM_5041",0,0,0,0
"SWARM_3202",0,0,0,0
"SWARM_3209",0,0,0,0
"SWARM_7570",0,0,0,0
"SWARM_10741",0,0,0,0
"SWARM_10742",0,0,0,0
"SWARM_4383",0,0,0,0
"SWARM_15994",0,0,0,0
"SWARM_4381",0,0,0,0
"SWARM_15682",0,0,0,0
"SWARM_15680",0,0,0,0
"SWARM_15681",0,0,0,0
"SWARM_6994",0,0,0,0
"SWARM_6997",0,0,0,0
"SWARM_14086",0,0,0,0
"SWARM_14084",0,0,0,0
"SWARM_14081",0,0,0,0
"SWARM_14080",0,0,0,0
"SWARM_14088",0,0,0,0
"SWARM_5597",0,0,0,0
"SWARM_14550",0,0,0,0
"SWARM_347",79.59,91.74,83.6,81.09
"SWARM_346",0,0,0,0
"SWARM_345",0,0,0,0
"SWARM_344",53.55,56.12,0,0
"SWARM_343",98.77,0,0,0
"SWARM_342",0,0,0,0
"SWARM_341",39.45,89.62,63.48,47.74
"SWARM_340",0,0,0,0
"SWARM_349",61.75,0,0,0
"SWARM_7689",0,0,0,0
"SWARM_7685",0,0,0,0
"SWARM_13025",0,0,0,0
"SWARM_12645",0,0,0,0
"SWARM_12641",0,0,0,0
"SWARM_7970",0,0,0,0
"SWARM_7977",0,0,0,0
"SWARM_23083",0,0,0,0
"SWARM_5380",0,0,0,0
"SWARM_10643",0,0,0,0
"SWARM_10645",0,0,0,0
"SWARM_10647",0,0,0,0
"SWARM_10646",0,0,0,0
"SWARM_4408",0,0,0,0
"SWARM_6319",0,0,0,0
"SWARM_6313",0,0,0,0
"SWARM_14949",0,0,0,0
"SWARM_6317",0,0,0,0
"SWARM_6316",0,0,0,0
"SWARM_2803",0,0,0,0
"SWARM_2802",0,0,0,0
"SWARM_2801",0,0,0,0
"SWARM_2800",0,0,0,0
"SWARM_2807",0,0,0,0
"SWARM_2806",0,0,0,0
"SWARM_5469",0,0,0,0
"SWARM_5460",0,0,0,0
"SWARM_5461",0,0,0,0
"SWARM_5463",0,0,0,0
"SWARM_5464",0,0,0,0
"SWARM_5466",0,0,0,0
"SWARM_5467",0,0,0,0
"SWARM_2119",0,0,0,0
"SWARM_2118",0,0,0,0
"SWARM_2115",0,0,0,0
"SWARM_2117",0,0,0,0
"SWARM_2116",0,0,0,0
"SWARM_4882",0,0,0,0
"SWARM_9979",0,0,0,0
"SWARM_9970",0,0,0,0
"SWARM_8378",0,0,0,0
"SWARM_8372",0,0,0,0
"SWARM_3447",0,0,0,0
"SWARM_3440",0,0,0,0
"SWARM_3442",0,0,0,0
"SWARM_3443",0,0,0,0
"SWARM_3448",0,0,0,0
"SWARM_3449",0,0,0,0
"SWARM_9398",0,0,0,0
"SWARM_3998",0,0,0,0
"SWARM_3999",0,0,0,0
"SWARM_3996",0,0,0,0
"SWARM_3994",0,0,0,0
"SWARM_3992",0,0,0,0
"SWARM_3993",0,0,0,0
"SWARM_3990",0,0,0,0
"SWARM_3991",0,0,0,0
"SWARM_8283",0,0,0,0
"SWARM_1590",28.38,0,0,0
"SWARM_1593",53.74,62.9,58,0
"SWARM_1594",0,0,0,0
"SWARM_1596",0,0,0,0
"SWARM_1597",70.03,67.67,65.87,65.55
"SWARM_1599",0,0,0,0
"SWARM_9020",0,0,0,0
"SWARM_9021",0,0,0,0
"SWARM_4656",0,0,0,0
"SWARM_26569",0,0,0,0
"SWARM_5527",0,0,0,0
"SWARM_26560",0,0,0,0
"SWARM_26567",0,0,0,0
"SWARM_18755",0,0,0,0
"SWARM_24894",0,0,0,0
"SWARM_921",68.46,0,0,0
"SWARM_920",0,47.41,0,0
"SWARM_22494",0,0,0,0
"SWARM_22498",0,0,0,0
"SWARM_15527",0,0,0,0
"SWARM_15526",0,0,0,0
"SWARM_15529",0,0,0,0
"SWARM_9154",0,0,0,0
"SWARM_6905",0,0,0,0
"SWARM_11414",0,0,0,0
"SWARM_11413",0,0,0,0
"SWARM_12859",0,0,0,0
"SWARM_4676",0,0,0,0
"SWARM_4677",0,0,0,0
"SWARM_4674",0,0,0,0
"SWARM_4675",0,0,0,0
"SWARM_4673",0,0,0,0
"SWARM_4671",0,0,0,0
"SWARM_6296",0,0,0,0
"SWARM_6292",0,0,0,0
"SWARM_6293",0,0,0,0
"SWARM_6290",0,0,0,0
"SWARM_6291",0,0,0,0
"SWARM_6299",0,0,0,0
"SWARM_8943",0,0,0,0
"SWARM_6120",0,0,0,0
"SWARM_6124",0,0,0,0
"SWARM_6126",0,0,0,0
"SWARM_2639",0,0,0,0
"SWARM_2630",0,0,0,0
"SWARM_2631",0,0,0,0
"SWARM_2632",0,0,0,0
"SWARM_2635",0,0,0,0
"SWARM_2637",0,0,0,0
"SWARM_908",0,0,0,0
"SWARM_903",64.94,78.74,69.82,71.06
"SWARM_902",0,55.55,60.37,54.78
"SWARM_904",0,0,41.69,50.81
"SWARM_907",83.46,0,0,0
"SWARM_906",0,0,0,0
"SWARM_7657",0,0,0,0
"SWARM_8492",0,0,0,0
"SWARM_8490",0,0,0,0
"SWARM_9723",0,0,0,0
"SWARM_9720",0,0,0,0
"SWARM_29202",0,0,0,0
"SWARM_1381",91.05,0,0,0
"SWARM_1382",0,0,0,0
"SWARM_1384",84.78,0,0,0
"SWARM_1387",71.24,0,0,0
"SWARM_1386",82.89,0,0,65.74
"SWARM_1389",0,53.82,60.25,58.29
"SWARM_1049",0,0,0,66.96
"SWARM_13277",0,0,0,0
"SWARM_28611",0,0,0,0
"SWARM_16355",0,0,0,0
"SWARM_16359",0,0,0,0
"SWARM_10216",0,0,0,0
"SWARM_10212",0,0,0,0
"SWARM_2436",0,0,0,0
"SWARM_2437",0,0,0,0
"SWARM_2432",0,0,0,0
"SWARM_2433",0,0,0,0
"SWARM_2430",0,0,0,0
"SWARM_15195",0,0,0,0
"SWARM_14247",0,0,0,0
"SWARM_2380",0,0,0,0
"SWARM_2381",0,0,0,0
"SWARM_2382",0,0,0,0
"SWARM_2383",0,0,0,0
"SWARM_2387",0,0,0,0
"SWARM_2388",0,0,0,0
"SWARM_2389",0,0,0,0
"SWARM_677",0,77.48,84.26,0
"SWARM_676",97.39,64.75,0,0
"SWARM_675",0,69.2,0,0
"SWARM_674",72.08,82.33,78.56,68.46
"SWARM_679",0,68.44,64.85,0
"SWARM_3004",0,0,0,0
"SWARM_9529",0,0,0,0
"SWARM_9528",0,0,0,0
